stripped,original
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"The St. Paul
  Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
unity avenue foundation,Unity Avenue Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's
  Digest Literary Publishers Marketing Development Program"
council of literary magazines and presses,the Council of Literary Magazines and Presses;
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,"the Dayton Hudson
  Foundation"
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
challenge and literature programs of national endowment for arts,"Challenge and Literature Programs of the National
  Endowment for the Arts"
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"The St. Paul
  Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers Marketing
  Development Program"
council of literary magazines and,the Council of Literary Magazines and
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,"The McKnight
  Foundation"
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
piper family fund of minneapolis foundation,"Piper Family Fund of the Minneapolis
  Foundation"
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"The St. Paul Companies, Inc."
cowles media foundation,Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,"James R. Thorpe
  Foundation"
unity avenue foundation,Unity Avenue Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary
  Publishers Marketing Development Program"
congo / margaret meyers.,the Congo / Margaret Meyers.
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,"the Dayton
  Hudson Foundation"
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,"Honeywell
  Foundation"
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,McKnight Foundation
andrew w. mellon foundation,Andrew W. Mellon Foundation
minneapolis foundation,the Minneapolis Foundation
minnesota state arts board,"Minnesota State
  Arts"
minnesota state legislature,the Minnesota State Legislature
musser fund,"Musser
  Fund"
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"The St. Paul Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,"James R. Thorpe
  Foundation"
lila wallacereader's digest literary publishers marketing development,"Lila Wallace-Reader's Digest Literary Publishers Marketing Development
  "
council of literary magazines and presses,the Council of Literary Magazines and Presses;
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
challenge and literature programs of national endowment for arts,Challenge and Literature
national endowment for arts,National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"companies, inc.","Companies, Inc."
st. paul companies,"The St. Paul Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest
  Literary Publishers Marketing Development Program"
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
ecolab foundation,Ecolab Foundation
general mills foundation,"General Mills
  Foundation"
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
mcknight foundation,"The McKnight
  Foundation"
andrew w. mellon foundation,Andrew W. Mellon Foundation
minneapolis foundation,the Minneapolis Foundation
minnesota state arts board,"Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul com,The St. Paul Com-
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers
  Marketing Development Program"
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,"the Dayton Hudson
  Foundation"
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
minneapolis foundation,the Minneapolis Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
challenge and literature programs of national endowment for arts,Challenge and Literature
national endowment for arts,National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"companies, inc.","Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"The St. Paul Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,"Surdna Foun-
  "
james r. thorpe foundation,James R. Thorpe Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers
  Marketing Development Program"
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew
  W. Mellon Foundation"
minneapolis foundation,the Minneapolis Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
challenge and,Challenge and
national endowment for arts,the National Endowment for the Arts
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
ritz foundation,Ritz Foundation
st. paul companies,"The St. Paul Companies, Inc."
star tribune/cowles media company,"Star Tribune/Cowles Media
  Foundation"
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
u.s. west foundation,"U. S. West
  Foundation"
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers Marketing
  Development Program"
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
ecolab foundation,Ecolab Foundation
general mills foundation,"General Mills
  Foundation"
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew W. Mellon
  Foundation"
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
challenge and literature programs of national endowment for arts,Challenge and Literature
national endowment for arts,National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.","Piper
  Jaffray Companies, Inc."
st. paul companies,"The St. Paul Companies, Inc."
cowles media foundation,Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,"James R. Thorpe Founda-
  tion"
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers Marketing Develop-
  ment Program,"
council of literary magazines,"the Council of Literary Magazines
  "
sara roby foundation,the Sara Roby Foundation
bush foundation,the Bush Foundation
target,Target
dayton hudson foundation,"the Dayton
  Hudson Foundation"
